,Pepinster,9.292,9.771
,Baelen,3.852,4.351
,Sankt Vith,8.941,9.553
,Neupré,9.513,9.968
,Blieberg,9.361,10.158
,Oerle,3.317,3.794
,Thimister-Clermont,5.075,5.676
,Hamoir,3.510,3.890
,Faimes,3.155,3.884
,Limburg,5.495,5.858
,Lierneux,3.317,3.569
,Jalhay,7.497,8.497
,Nandrin,5.376,5.815
,Lontzen,5.010,5.627
,Bütgenbach,5.550,5.609
,Awans,8.270,9.201
,Juprelle,8.145,9.217
,Raeren,9.550,10.551
,Olne,3.731,3.897
,Kelmis,10.121,10.897
,Burg-Reuland,3.787,3.955
,Bitsingen,8.176,8.986
,Saint-Nicolas,23.171,23.969
,Amay,12.987,14.103
,Sprimont,12.426,14.402
,Ans,27.528,28.263
,Hoei,19.056,21.270
,Luik,185.639,195.968
,Wezet,16.617,17.572
,Chaudfontaine,20.607,21.001
,Herstal,36.292,39.365
,Eupen,17.516,19.122
,Borgworm,13.190,14.786
,Flémalle,25.777,26.061
,Seraing,60.557,63.972
,Oupeye,23.720,24.659
,Verviers,53.148,55.356
,Dison,13.978,15.181
,Soumagne,14.607,16.622
,Herve,16.469,17.371
,Grâce-Hollogne,22.503,22.077
,Fléron,15.891,16.485
,Wanze,12.026,13.537
,Hannuit,13.242,15.840
Luxembourg,Aubange,14.663,16.427
,Nassogne,4.760,5.410
,Paliseul,5.006,5.316
,Florenville,5.546,5.566
,Saint-Hubert,5.727,5.625
,Chiny,4.885,5.200
,Saint-Léger,3.192,3.525
,Durbuy,9.916,11.432
,Libin,4.341,5.063
,Hotton,4.890,5.436
,Etalle,4.890,5.695
,La Roche-en-Ardenne,4.107,4.166
,Musson,3.893,4.504
,Libramont-Chevigny,9.277,10.932
,Aarlen,24.791,29.016
,Marche-en-Famenne,16.390,17.449
,Gouvy,4.581,5.074
,Vaux-sur-Sûre,4.176,5.439
,Bouillon,5.437,5.413
,Houffalize,4.501,5.176
,Tintigny,3.436,4.197
,Léglise,3.701,5.118
,Attert,4.118,5.370
,Bastenaken,13.391,15.405
,Virton,11.009,11.456
,Sainte-Ode,2.181,2.466
,Wellin,2.837,3.031
,Bertrix,8.054,8.605
,Neufchâteau,6.167,7.466
,Tellin,2.229,2.465
,Messancy,6.902,8.073
,Rendeux,2.217,2.535
,Habay,6.968,8.298
,Tenneville,2.449,2.804
,Meix-devant-Virton,2.691,2.744
,Fauvillers,1.838,2.209
,Daverdisse,1.360,1.453
,Manhay,2.885,3.374
,Herbeumont,1.434,1.588
,Bertogne,2.724,3.431
,Vielsalm,7.182,7.657
,Rouvroy,1.877,2.094
,Martelange,1.428,1.770
,Érezée,2.745,3.251
Namur,Viroinval,5.623,5.811
,Floreffe,7.092,7.978
,Hamois,6.462,7.235
,Somme-Leuze,4.170,5.283
,Andenne,23.529,26.068
,La Bruyère,7.836,9.076
,Hastière,4.976,5.875
,Philippeville,7.939,9.216
,Gembloers,20.484,25.181
,Jemeppe-sur-Sambre,17.523,18.817
,Walcourt,16.840,18.477
,Sombreffe,7.305,8.318
,Anhée,6.771,7.078
,Gesves,5.767,7.088
,Assesse,5.992,6.909
,Yvoir,7.914,9.031
,Beauraing,8.096,8.896
,Sambreville,27.197,27.907
,Fernelmont,6.298,7.689
,Vresse-sur-Semois,2.810,2.669
,Gedinne,4.344,4.490
,Cerfontaine,4.334,4.889
,Couvin,13.249,13.939
,Ohey,4.063,4.974
,Onhaye,3.011,3.153
,Doische,2.840,2.921
,Namen,105.419,110.646
,Florennes,10.668,11.267
,Bièvre,3.140,3.215
,Rochefort,11.747,12.512
,Fosses-la-Ville,8.750,10.340
,Houyet,4.433,4.724
,Ciney,14.452,16.154
,Profondeville,10.741,12.044
,Dinant,12.735,13.555
,Mettet,11.317,12.878
,Éghezée,13.414,15.771
,Havelange,4.622,5.071
East Flanders,Zomergem,8.245,8.378
,Aalst,76.313,83.709
,Kluisbergen,6.086,6.443
,Aalter,18.509,20.073
,Hamme,22.685,24.603
,Sint-Martens-Latem,8.314,8.494
,Erpe-Mere,19.249,19.768
,Sint-Niklaas,68.290,74.289
,Merelbeke,21.786,24.047
,Lierde,6.291,6.548
,Sint-Laureins,6.513,6.663
,Wachtebeke,6.809,7.450
,Zingem,6.603,7.535
,Zwalm,7.683,8.047
,Gent,224.180,253.266
